Date,Title,Location,Time,Description,Category,Audience
"Thursday July 16, 2026",Storytime,JAMES I. GIBSON LIBRARY,10:30am - 11:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers Sloan Canyon Presents Red Rock"
"Thursday July 16, 2026",Search and Rescue,WEST HENDERSON LIBRARY,10:30am - 11:30am,Learn about the nature of our surrounding valley through a presentation by Sloan Canyon National Conservation. Age 5+ and caregivers.,Local Topics & Meetings,Adults
"Thursday July 16, 2026",STEAM Team,JAMES I. GIBSON LIBRARY,2:30pm - 3:15pm,"Come make some summer art with glue, salt, and watercolors! Ages 6-11*. No younger children allowed.",General • STEAM,Kids
"Thursday July 16, 2026",Tai Chi with Jeanne,PASEO VERDE LIBRARY,3:00pm - 4:00pm,"Discover Tai Chi almost every Thursday in a welcoming class for all abilities. Gentle movements, standing or seated, help improve balance, calm the mind, and promote overall wellbeing.",Health & Wellness,Adults Page 8 of 14 --footer-line
"Friday July 17, 2026",Storytime,GREEN VALLEY LIBRARY,10:15am - 10:45am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers REGISTERED EVENT"
"Friday July 17, 2026",Storytime,WEST HENDERSON LIBRARY,10:15am - 10:45am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers. Registration required. Check in at the Customer Service Desk.",Storytime,"Preschoolers, Babies & Toddlers"
"Friday July 17, 2026",Storytime,GREEN VALLEY LIBRARY,11:00am - 11:30am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers REGISTERED EVENT"
"Friday July 17, 2026",Storytime,WEST HENDERSON LIBRARY,11:15am - 11:45am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers. Registration required. Check in at the Customer Service Desk.",Storytime,"Preschoolers, Babies & Toddlers"
"Friday July 17, 2026",Magician!,GREEN VALLEY LIBRARY,12:00pm - 1:00pm,"Join us for a thrilling, interactive magic show, packed with fun and learning! For families with children.",Performances,Families
"Saturday July 18, 2026",Storytime,PASEO VERDE LIBRARY,9:30am - 10:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Saturday July 18, 2026",Vitalant Blood Drive,PASEO VERDE LIBRARY,9:30am - 12:15pm,Be a hero. Donate blood at the Vitalant blood drive.,Blood Drive,Adults
"Saturday July 18, 2026",Storytime,PASEO VERDE LIBRARY,10:30am - 11:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers From DNA to Discovery: Power of"
"Saturday July 18, 2026",Forensic Genetic Genealogy,GREEN VALLEY LIBRARY,11:00am - 12:00pm,"Join this fascinating discussion with Forensic Genetic Genealogist, Kharisma Rodriguez.",Presentations & Workshops,Adults
"Monday July 20, 2026",Red Rock Explorers Jr.,JAMES I. GIBSON LIBRARY,10:00am - 10:45am,Join us to learn about the world of dinosaurs! For ages 3-5 & their caregivers.,STEAM,Preschoolers Page 9 of 14 --footer-line
"Monday July 20, 2026",Yin Yoga for Beginners,PASEO VERDE LIBRARY,10:00am - 11:00am,"This calming yoga session can help improve flexibility, balance, and mindfulness. Space is limited. Passes are available at the Adult Services desk 30 minutes before the program.",Health & Wellness,Adults
"Monday July 20, 2026",Tween Dungeons & Dragons,PASEO VERDE LIBRARY,4:00pm - 5:00pm,Let's play some D&D! Open to new and experienced players. Ages 8-12.,Fun & Games,"Tweens, Kids"
"Monday July 20, 2026",LEGO League,PASEO VERDE LIBRARY,6:00pm - 6:45pm,We'll provide the LEGOs — you provide the imagination! For families.,STEAM • Fun & Games,Families
"Tuesday July 21, 2026",Henderson Libraries Board Meeting,PASEO VERDE LIBRARY,7:45am - 9:00am,"The Henderson Libraries Board of Trustees meets on the 3rd Thursday of the month, unless otherwise noted. This meeting is open to the public and is also accessible via Zoom.",Local Topics & Meetings,Adults
"Tuesday July 21, 2026",Red Rock Explorers Jr.,PASEO VERDE LIBRARY,10:00am - 10:45am,Join us to learn about the world of dinosaurs! For ages 3-5 & their caregivers.,STEAM,Preschoolers
"Tuesday July 21, 2026",Bereavement Support Group,PASEO VERDE LIBRARY,1:00pm - 2:30pm,"In partnership with Nathan Adelson Hospice, this group offers a welcoming space for adults coping with loss. Share experiences, find comfort, and connect with others on a similar journey. 18+",Local Topics & Meetings • Health & Wellness,Adults
"Tuesday July 21, 2026",Family Fun,GREEN VALLEY LIBRARY,2:30pm - 3:15pm,"Come by with the whole family for an evening of fun with games, crafts, and more! For families with children.",Arts & Creativity • Fun & Games,Families
"Tuesday July 21, 2026",Pop Up-Family Fun,WEST HENDERSON LIBRARY,3:30pm - 4:30pm,Drop by our table anytime from 3:30pm-4:30pm for some fun crafts or activities! For families with children.,Arts & Creativity • Fun & Games,Families The Mesozoic State of Mind: Trivia
"Tuesday July 21, 2026",Night,PASEO VERDE LIBRARY,5:00pm - 6:00pm,"A dinosaur-themed trivia night for adults featuring history, pop culture, and prehistoric facts. Play solo or in teams and test your knowledge across the Mesozoic Era. 18+",Fun & Games,Adults
"Tuesday July 21, 2026",Page Turners Book Club,JAMES I. GIBSON LIBRARY,5:30pm - 6:30pm,"Join us as we read and discuss a variety of interesting and pertinent fiction and non-fiction works. This month's book is ""Martyr! "" by Kaveh Akbar.",Book Club,Adults Page 10 of 14 --footer-line
"Wednesday July 22, 2026",Storytime,PASEO VERDE LIBRARY,9:30am - 10:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Wednesday July 22, 2026",Summer Movie,JAMES I. GIBSON LIBRARY,10:00am - 12:00pm,Bring your family and some snacks and join us for a fun movie and free air-conditioning! We'll be watching Monsters University (G; 1hr 44min).,Movie,Families
"Wednesday July 22, 2026",Storytime,PASEO VERDE LIBRARY,10:30am - 11:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Wednesday July 22, 2026",STEAM Team,PASEO VERDE LIBRARY,2:30pm - 3:15pm,Do you love the outdoors? Come make some camping themed crafts! Ages 6-11*. No younger children allowed.,STEAM,Kids
"Wednesday July 22, 2026",Tween Dungeons & Dragons,JAMES I. GIBSON LIBRARY,4:00pm - 5:00pm,Let's play some D&D! Open to new and experienced players. Ages 8-12.,General • STEAM • Fun & Games,"Tweens, Kids"
"Wednesday July 22, 2026",Teen Makerspace,PASEO VERDE LIBRARY,4:00pm - 6:00pm,Want to try your hand on some new crafts? Join your fellow library teens and create something new this summer! Ages 11-17. No parents please.,Arts & Creativity,Teens
"Wednesday July 22, 2026",LEGO League,JAMES I. GIBSON LIBRARY,6:00pm - 6:45pm,We'll provide the LEGOs — you provide the imagination! For families.,STEAM • Fun & Games,Families
"Thursday July 23, 2026",Storytime,JAMES I. GIBSON LIBRARY,9:30am - 10:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Thursday July 23, 2026",Summer Movie,PASEO VERDE LIBRARY,10:00am - 11:30am,"Bring your family and some snacks and join us for a fun movie and free air-conditioning! We'll be watching Monsters, Inc. (G; 1hr 32min).",Movie,Families
"Thursday July 23, 2026",League of Women Voters of Nevada,PASEO VERDE LIBRARY,10:00am - 12:00pm,Stop by and chat with members of The League of Women Voters of Nevada.,Local Topics & Meetings,Adults Page 11 of 14 --footer-line
"Thursday July 23, 2026",Storytime,JAMES I. GIBSON LIBRARY,10:30am - 11:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Thursday July 23, 2026",Genealogy Lunch & Learn,PASEO VERDE LIBRARY,12:00pm - 2:00pm,"Programs from CCNGS are geared to empower participants with essential research techniques, tips, and tricks to uncover their ancestral history. Visit our website: ccngs.org for further information.",Genealogy • Local Topics & Meetings • General,Adults
